sinonimo,divipola
Santa Fe de Bogota,11001
Bogota D.C.,11001
Bogota DC,11001
Cartagena,13001
San Jose de Cucuta,54001
Cucuta,54001
Santiago de Cali,76001
Ibague,73001
El Espinal,73268
